Order,Vital Records Form,Form URL,Form Element,IG,Mapping Profile,Profile,Field,Extension,Questionnaire,QuestionnaireField,Notes/Questions,Mapping IG,computable
1-011,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,8b. Mother’s Date Of Birth,VRCPL,Patient-mother-vr,Patient-mother-vr,birthDate,,,,,,PatientMotherVitalRecords
1-012,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,8c. Mother’s Name Prior To First Marriage,VRCPL,Patient-mother-vr,Patient-mother-vr,name:namePriorToFirstMarriage,,,,,,PatientMotherVitalRecords
1-013,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,8d. Mother’s Birthplace,FHIR,Patient-mother-vr,patient-birthPlace,,Patient-child-vr.extension:birthPlace,,,,VRCPL,PatientMotherVitalRecords
1-014,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,9a. Residence of Mother - State,VRCPL,Patient-mother-vr,Patient-mother-vr,address.state,,,,,,PatientMotherVitalRecords
1-015,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,9b. Mother’s County,VRCPL,Patient-mother-vr,Patient-mother-vr,address.district,,,,,,PatientMotherVitalRecords
1-016,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,"9c. Mother’s City, Town, or Location",VRCPL,Patient-mother-vr,Patient-mother-vr,address.city,,,,,,PatientMotherVitalRecords
1-017,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,9d. Mother’s Street And Number,VRCPL,Patient-mother-vr,Patient-mother-vr,address.line,,,,,,PatientMotherVitalRecords
1-018,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,9e. Mother’s Apt. No.,VRCPL,Patient-mother-vr,Patient-mother-vr,address.line,,,,,,PatientMotherVitalRecords
1-019,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,9f. Mother’s Zip Code,VRCPL,Patient-mother-vr,Patient-mother-vr,address.postalCode,,,,,,PatientMotherVitalRecords
1-020,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,9g. Mother’s Residence Inside City Limits?,VRCPL,Patient-mother-vr,Extension-within-city-limits-indicator-vr,,address.extension:withinCityLimitsIndicator,,,,VRCPL,PatientMotherVitalRecords
1-021,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,10a. Father’s Current Legal Name,VRCPL,RelatedPerson-father-natural-vr,RelatedPerson-father-natural-vr,name,,,,"Use only RelatedPerson-father-natural-vr? Yes
Can we use :currentLegalName on relatedPerson?",,RelatedPersonFatherNaturalVitalRecords
1-022,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,10b. Father’s Date Of Birth,VRCPL,RelatedPerson-father-natural-vr,RelatedPerson-father-natural-vr,birthDate,,,,Use only RelatedPerson-father-natural-vr? Yes,,RelatedPersonFatherNaturalVitalRecords
1-023,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,10c. Father’s Birthplace,VRCPL,RelatedPerson-father-natural-vr,Extension-relatedperson-birthplace-vr,,RelatedPerson-father-natural-vr.extension:birthPlace,,,Use only RelatedPerson-father-natural-vr? Yes,VRCPL,RelatedPersonFatherNaturalVitalRecords
1-024,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,11. Certifier’s Name,BFDR,Practitioner-birth-certifier,Practitioner-birth-certifier,name,,,,,BFDR,PractitionerBirthCertifier
1-024,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,11. Certifier’s Title,BFDR,Practitioner-birth-certifier,Practitioner-birth-certifier,qualification,,,,,BFDR,PractitionerBirthCertifier
1-025,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,12. Date Certified,BFDR,Encounter-birth,Encounter-birth,participant:certifier.period.start,,,,,,EncounterBirth
1-026,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,13. Date Filed By Registrar,BFDR,Composition-provider-live-birth-report,Composition-provider-live-birth-report,date,,,,,BFDR,"CompositionProviderLiveBirthReport
"
1-027,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,14. Mother’s Mailing Address,VRCPL,Patient-mother-vr,Patient-mother-vr,address,,,,,,PatientMotherVitalRecords
1-028,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,15. Mother Married?,BFDR,Observation-mother-married-during-pregnancy,Observation-mother-married-during-pregnancy,value,,,,"See NA tab, row 9
Keep this mapping? Yes, there used to be two different married elements (one ever married (deleted) and this one)",,ObservationMotherMarriedDuringPregnancy
1-028,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,"15. If not married, has paternity acknowledgement been signed in the hospital?",BFDR,Observation-paternity-acknowledgement-signed,Observation-paternity-acknowledgement-signed,value,,,,,,ObservationPaternityAcknowledgementSigned
1-029,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,16. Social Security Number Requested for Child?,BFDR,Observation-ssn-requested-for-child,Observation-ssn-requested-for-child,value,,,,,,ObservationSSNRequestedForChild
1-030,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,17. Facility Id.,BFDR,Location-bfdr,Location-bfdr,identifier:NPI,,,,,BFDR,LocationBFDR
1-031,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,18. Mother’s Social Security Number,VRCPL,Patient-mother-vr,Patient-mother-vr,identifier:SSN,,,,,VRCPL,PatientMotherVitalRecords
1-032,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,19. Father’s Social Security Number,VRCPL,RelatedPerson-father-natural-vr,RelatedPerson-father-natural-vr,identifier:SSN,,,,Use only RelatedPerson-father-natural-vr? Yes,VRCPL,RelatedPersonFatherNaturalVitalRecords
1-033,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,20. Mother’s Education,VRCPL,Observation-education-level-vr,Observation-education-level-vr,code,,,,,,ObservationEducationLevelVitalRecords
1-034,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,21. Mother of Hispanic Origin?,VRCPL,input-race-and-ethnicity-vr,input-race-and-ethnicity-vr,"component.value, subject is Mother",,,,,VRCPL,ObservationInputRaceAndEthnicityVitalRecords
1-035,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,22. Mother’s Race,VRCPL,input-race-and-ethnicity-vr,input-race-and-ethnicity-vr,"component.value, subject is Mother",,,,,VRCPL,ObservationInputRaceAndEthnicityVitalRecords
1-036,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,23. Father’s Education,VRCPL,Observation-education-level-vr,Observation-education-level-vr,code,,,,,,ObservationEducationLevelVitalRecords
1-037,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,24. Father of Hispanic Origin?,VRCPL,input-race-and-ethnicity-vr,input-race-and-ethnicity-vr,"component.value, subject is Father",,,,,VRCPL,ObservationInputRaceAndEthnicityVitalRecords
1-038,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,25. Father’s Race,VRCPL,input-race-and-ethnicity-vr,input-race-and-ethnicity-vr,"component.value, subject is Father",,,,,VRCPL,ObservationInputRaceAndEthnicityVitalRecords
1-039,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,26. Place Where Birth Occurred,BFDR,Encounter-birth,Encounter-birth,location.physicalType,,,,,,EncounterBirth
1-040,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,26.3. Home Birth: Planned to deliver at home?,BFDR,Encounter-birth,Encounter-birth,location.physicalType,,,,,,EncounterBirth
1-041,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,27. Attendant’s Name,BFDR,Practitioner-birth-attendant,Practitioner-birth-attendant,name,,,,,BFDR,Practitioner-birth-attendant
1-041,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,27. Attendant’s Title,BFDR,Practitioner-birth-attendant,Practitioner-birth-attendant,qualification,,,,,BFDR,PractitionerBirthAttendant
1-041,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,27. Attendant’s NPI,BFDR,Practitioner-birth-attendant,Practitioner-birth-attendant,identifier,,,,,BFDR,PractitionerBirthAttendant
1-042,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,28. Mother Transferred for Maternal Medical or Fetal Indications for Delivery?,BFDR,Encounter-maternity,Encounter-maternity,"hospitalization.admitSource (Y if present, N if not present)",,,,,,EncounterMaternity
1-043,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,28.1. Name of facility mother transferred from:,BFDR,Location-bfdr,Location-bfdr,name,,,,,BFDR,LocationBFDR
1-044,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,29a. Date Of First Prenatal Care Visit,BFDR,Observation-date-of-first-prenatal-care-visit,Observation-date-of-first-prenatal-care-visit,value,,,,,,ObservationDateOfFirstPrenatalCareVisit
1-045,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,29b. Date Of Last Prenatal Care Visit,not implemented,not implemented,not implemented,,,,,"See NA tab, row 10",,
1-046,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,30. Total Number Of Prenatal Visits For This Pregnancy,BFDR,Observation-number-prenatal-visits,Observation-number-prenatal-visits-vr,value,,,,,,ObservationNumberPrenatalVisits
1-047,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,31. Mother’s Height,BFDR,Observation-mother-height,Observation-mother-height-vr,value,,,,,,ObservationMotherHeight
1-048,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,32. Mother’s Prepregnancy Weight,BFDR,Observation-mother-prepregnancy-weight,Observation-mother-prepregnancy-weight-vr,value,,,,,,ObservationMotherPrepregnancyWeight
1-049,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,33. Mother’s Weight At Delivery,BFDR,Observation-mother-delivery-weight,Observation-mother-delivery-weight-vr,value,,,,,,ObservationMotherDeliveryWeight
1-050,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,34. Did Mother Get WIC Food For Herself During This Pregnancy?,BFDR,Observation-mother-received-wic-food,Observation-mother-received-wic-food,value,,,,,,ObservationMotherReceivedWICFood
1-051,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,35. Number of Previous Live Births,BFDR,Observation-number-births-now-dead,Observation-number-births-now-dead-vr,value,,,,,,ObservationNumberBirthsNowDead
1-052,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,36. Number of Other Pregnancy Outcomes,BFDR,Observation-number-other-pregnancy-outcomes,Observation-number-other-pregnancy-outcomes-vr,value,,,,,,ObservationNumberOtherPregnancyOutcomes
1-053,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,37. Cigarette Smoking Before And During Pregnancy,BFDR,Observation-cigarette-smoking-before-during-pregnancy,Observation-cigarette-smoking-before-during-pregnancy,value,,,,,,ObservationCigaretteSmokingBeforeDuringPregnancy
1-054,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,38. Principal Source of Payment for This Delivery,BFDR,Coverage-principal-payer-delivery,Coverage-principal-payer-delivery,type,,,,,,CoveragePrincipalPayerDelivery
1-055,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,39. Date Last Normal Menses Began,BFDR,Observation-last-menstrual-period,Observation-last-menstrual-period-vr,value,,,,,,ObservationLastMenstrualPeriod
1-056,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,40. Mother’s Medical Record Number,VRCPL,Patient-mother-vr,Patient-mother-vr,identifier:MRN,,,,,,PatientMotherVitalRecords
1-057,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,41.1. Risk factors in this pregnancy: Diabetes - Prepregnancy,BFDR,Condition-prepregnancy-diabetes,Condition-prepregnancy-diabetes-vr,,,,,,,ConditionPrepregnancyDiabetes
1-058,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,41.2. Risk factors in this pregnancy: Diabetes - Gestational,BFDR,Condition-gestational-diabetes,Condition-gestational-diabetes-vr,,,,,,,ConditionGestationalDiabetes
1-059,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,41.3. Risk factors in this pregnancy: Hypertension - Prepregnancy,BFDR,Condition-prepregnancy-hypertension,Condition-prepregnancy-hypertension-vr,,,,,,,ConditionPrepregnancyHypertension
1-060,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,41.4. Risk factors in this pregnancy: Hypertension - Gestational,BFDR,Condition-gestational-hypertension,Condition-gestational-hypertension-vr,,,,,,,ConditionGestationalHypertension
1-061,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,41.5. Risk factors in this pregnancy: Eclampsia,BFDR,Condition-eclampsia-hypertension,Condition-eclampsia-hypertension-vr,,,,,,,ConditionEclampsiaHypertension
1-062,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,41.6. Risk factors in this pregnancy: Previous preterm births,BFDR,Observation-previous-preterm-birth,Observation-previous-preterm-birth-vr,,,,,,,ObservationPreviousPretermBirth
1-063,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,41.7. Risk factors in this pregnancy: Other previous poor pregnancy outcome,not implemented,not implemented,not implemented,,,,,"See NA tab, row 18",,
1-064,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,41.8. Risk factors in this pregnancy: Pregnancy resulted from infertility treatment,BFDR,Procedure-infertility-treatment,Procedure-infertility-treatment-vr,,,,,,,ProcedureInfertilityTreatment
1-065,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,"41.9. Risk factors in this pregnancy: Fertility-enhancing drugs, artificial insemination or intrauterine insemination",BFDR,Procedure-fertility-enhancing-drug-therapy-artificial-insem,Procedure-fertility-enhancing-drug-therapy-artificial-insem-vr,,,,,,,ProcedureFertilityEnhancingDrugTherapyArtificialInsemination
1-066,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,41.10. Risk factors in this pregnancy: Assisted reproductive technology,BFDR,Procedure-assisted-reproductive-technology,Procedure-assisted-reproductive-technology-vr,,,,,,,ProcedureAssistedReproductiveTechnology
1-066,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,41.11. Risk factors in this pregnancy: previous cesarean delivery,BFDR,Observation-previous-cesarean,Observation-previous-cesarean,,,,,,,ObservationPreviousCesarean
1-067,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,41.11. Risk factors in this pregnancy: previous cesarean delivery,BFDR,Observation-number-previous-cesareans,Observation-number-previous-cesareans,,,,,,,ObservationNumberPreviousCesareans
1-068,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,41.12. Risk factors in this pregnancy: None of the above,BFDR,Observation-none-of-specified-pregnancy-risk-factors,Observation-none-of-specified-pregnancy-risk-factors-vr,,,,,,,ObservationNoneOfSpecifiedPregnancyRiskFactors
1-068,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,42. Infections present and/or treated during this pregnancy,BFDR,Condition-infection-present-during-pregnancy,Condition-infection-present-during-pregnancy,,,,,,,ConditionInfectionPresentDuringPregnancy
1-069,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,42.6. Infections present and/or treated during this pregnancy,BFDR,Observation-no-infections-present-during-pregnancy,Observation-no-infections-present-during-pregnancy,,,,,,,ObservationNoneOfSpecifiedInfectionsPresentDuringPregnancy
1-069,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,43. Obstetric Procedures,BFDR,Procedure-obstetric,Procedure-obstetric,,,,,"Note: value set:  Obstetric Procedures (NCHS) (required) correctly reflects deletions noted in NA tab, rows 14 & 15",,ProcedureObstetric
1-070,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,43.4. Obstetric Procedures,BFDR,Observation-none-of-specified-obstetric-procedures,Observation-none-of-specified-obstetric-procedures,,,,,"Note: value set:  Obstetric Procedures (NCHS) (required) correctly reflects deletions noted in NA tab, rows 14 & 15",,ObservationNoneOfSpecifiedObstetricProcedures
1-071,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,44. Onset of Labor,not implemented,not implemented,not implemented,,,,,"See NA tab, rows 11, 12, 13",,
1-072,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,45.1. Characteristics of Labor and Delivery: Induction of labor,BFDR,Procedure-induction-of-labor,Procedure-induction-of-labor,,,,,,,ProcedureInductionOfLabor
1-073,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,45.2. Characteristics of Labor and Delivery: Augmentation of labor,BFDR,Procedure-augmentation-of-labor,Procedure-augmentation-of-labor,,,,,,,ProcedureAugmentationOfLabor
1-074,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,45.3. Characteristics of Labor and Delivery: Non-vertex presentation,not implemented,not implemented,not implemented,,,,,"See NA tab, row 61",,
1-075,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,45.4. Characteristics of Labor and Delivery: Steroids for fetal lung maturation,BFDR,Observation-steroids-fetal-lung-maturation,Observation-steroids-fetal-lung-maturation,,,,,,,ObservationSteroidsFetalLungMaturation
1-076,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,45.5. Characteristics of Labor and Delivery: Antibiotics received by the mother during labor,BFDR,Observation-antibiotics-administered-during-labor,Observation-antibiotics-administered-during-labor,,,,,,,ObservationAntibioticsAdministeredDuringLabor
1-077,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,45.6. Characteristics of Labor and Delivery: Clinical chorioamnionitis,BFDR,Condition-chorioamnionitis,Condition-chorioamnionitis,,,,,,,ConditionChorioamnionitis
1-078,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,45.7. Characteristics of Labor and Delivery: Moderate/heavy meconium staining of the amniotic fluid,not implemented,not implemented,not implemented,,,,,"See NA tab, row 19",,
1-079,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,"45.8. Characteristics of Labor and Delivery: Fetal intolerance of labor such that one or more of the following actions was taken: in-utero resuscitative measures, further fetal assessment, or operative delivery",not implemented,not implemented,not implemented,,,,,"See NA tab, row 20",,
1-080,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,45.9. Characteristics of Labor and Delivery: Epidural or spinal anesthesia during labor,BFDR,Procedure-epidural-or-spinal-anesthesia,Procedure-epidural-or-spinal-anesthesia,,,,,,,ProcedureEpiduralOrSpinalAnesthesia
1-081,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,45.10. Characteristics of Labor and Delivery: None of the above,BFDR,Observation-none-of-specified-characteristics-labor-delivery,Observation-none-of-specified-characteristics-labor-delivery,,,,,,,ObservationNoneOfSpecifiedCharacteristicsOfLaborAndDelivery
1-082,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,46.A. Method Of Delivery: Was delivery with forceps attempted but unsuccessful?,not implemented,not implemented,not implemented,,,,,"See NA tab, row 62",,
1-083,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,46.B. Method Of Delivery: Was delivery with vacuum extraction attempted but unsuccessful?,not implemented,not implemented,not implemented,,,,,"See NA tab, row 63",,
1-084,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,46.C. Fetal presentation at birth,BFDR,Observation-fetal-presentation,Observation-fetal-presentation,value,,,,,,ObservationFetalPresentation
1-085,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,46.D. Final route and method of delivery,BFDR,Procedure-final-route-method-delivery,Procedure-final-route-method-delivery,code,,,,,,ProcedureFinalRouteMethodDelivery
1-086,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,"46.D.1. If cesarean, was a trial of labor attempted?",BFDR,Observation-labor-trial-attempted,Observation-labor-trial-attempted,value,,,,,,ObservationLaborTrialAttempted
1-087,2003 Revision of the U.S. Standard Certificate of Live Birth,https://www.cdc.gov/nchs/data/dvs/birth11-03final-ACC.pdf,47.1. Maternal Morbidity: Maternal transfusion,BFDR,Procedure-blood-transfusion,Procedure-blood-transfusion,,,,,,,ProcedureBloodTransfusion
