Order,Heading,Profile Name Condensed,Profile Name,Profile Usage,Form Mappng,IJE Mapping,Profile Location
11,Input,Decedent,vrdr-decedent,"The Decedent profile contains basic information about the decedent, including data that are essential to the death record.

  Note: The Decedent profile is based on the [US Core Patient Profile](http://hl7.org/fhir/us/core/STU5.0.1/StructureDefinition-us-core-patient.html) which requires gender.  A value of 'unknown' will satisfy this requirement.
  The death record submission use case uses NCHS's definition of sex at time of death which is different than gender.  Complete death record submissions may fail FHIR validation
  due to lack of a value for gender.",x,x,VRDR
12,Input,DecedentAge,vrdr-decedent-age,"The DecedentAge profile of Observation records the decedents age at time of death.

  Notes:
  * When present, the effective date of this observation shall be equal to the decedent's date of death.
  * Age is derived as the difference in time between the decedent's death date and birth date.  Age is an integer value, reported in the largest appropriate unit.
  An age of 1 year and 1 month should be reported as 1 year, not 13 months, or 1.083 years.  Although the FHIR quantity provides a decimal value, only the integer component
  of the value will be used by NCHS.
  * The appropriate units for age are defined here:

  |  Age Range  | Units |
  |:---:|:---:|
  | age < 1 hr | minutes |
  | 1 hr &le; age < 24 hours | hours |
  | 1 day &le; age < 28 days (1 \""month\"") | days |
  | 1 month &le;  age  < 12 months | months |
  | 1 year &le; age &le; 135 | years|
  | age unknown | unknown |
  {: .grid }

  The Decedent Age profile includes:",x,x,VRDR
13,Input,DecedentDispositionMethod,vrdr-decedent-disposition-method,,x,x,VRDR
14,Input,DecedentEducationLevel,vrdr-decedent-education-level,,x,x,VRDR
15,Input,DecedentFather,vrdr-decedent-father,,x,x,VRDR
16,Input,DecedentMilitaryService,vrdr-decedent-military-service,,x,x,VRDR
17,Input,DecedentMother,vrdr-decedent-mother,,x,x,VRDR
18,Input,DecedentSpouse,vrdr-decedent-spouse,,x,x,VRDR
19,Input,DecedentPregnancyStatus,vrdr-decedent-pregnancy-status,,x,x,VRDR
20,Input,DispositionLocation,vrdr-disposition-location,Implementors are free to use the name field for the name of the disposition location.,x,x,VRDR
21,Input,ExaminerContacted,vrdr-examiner-contacted,,x,x,VRDR
22,Input,FuneralHome,vrdr-funeral-home,,x,x,VRDR
23,Input,InjuryLocation,vrdr-injury-location,,x,x,VRDR
24,Input,InjuryIncident,vrdr-injury-incident,,x,x,VRDR
25,Input,MannerOfDeath,vrdr-manner-of-death,A reference to the [Certifier] may be provided through the performer field.,x,x,VRDR
26,Input,ObservationEmergingIssuesVitalRecords,Observation-emerging-issues-vr,,x,x,VRCL
27,Input,DecedentUsualWork,vrdr-decedent-usual-work,"Implementors are free to use the coded fields with the defined valuesets for inter-jurisdictional exchange, 
but coded values are not expected for vital records submissions. 

Note that the coded industry and occupation fields are bound to PHINVADs-hosted value sets. 

For NCHS provided coded values the specific vocabulary used will depend on the death year.",,x,VRDR
28,Input,ObservationInputRaceAndEthnicityVitalRecords,input-race-and-ethnicity-vr,,x,x,VRCL
29,Input,SurgeryDate,vrdr-surgery-date,,,x,VRDR
30,Input,TobaccoUseContributedToDeath,vrdr-tobacco-use-contributed-to-death,,x,x,VRDR
31,Coding-COD,ActivityAtTimeOfDeath,vrdr-activity-at-time-of-death,,,x,VRDR
32,Coding-COD,AutomatedUnderlyingCauseOfDeath,vrdr-automated-underlying-cause-of-death,,,x,VRDR
33,Coding-COD,AutopsyPerformedIndicator,vrdr-autopsy-performed-indicator,The Autopsy Performed Indicator profile captures the following values:,x,x,VRDR
34,Coding-COD,CauseOfDeathCodedContentBundle,vrdr-cause-of-death-coded-bundle,"This bundle is information-content equivalent to the traditional NCHS TRX format.

  This bundle contains:
  * Coded Content:
    * Activity at Time of Death [ActivityAtTimeOfDeath]
    * Underlying Cause of Death -- [AutomatedUnderlyingCauseOfDeath] and [ManualUnderlyingCauseOfDeath]
    * Entity Axis Cause of Death [EntityAxisCauseOfDeath]
    * Record Axis Cause of Death [RecordAxisCauseOfDeath]
    * Place of Injury [PlaceOfInjury]
    * Coding Status Values [CodingStatusValues] - various flags that are part of the TRX format
  * Input Content:
    * Cause of Death Part 1 - [CauseOfDeathPart1]
    * Cause of Death Part 2 - [CauseOfDeathPart2]
    * Manner of Death - [MannerOfDeath]
    * Autopsy Performed Indicator - [AutopsyPerformedIndicator]
    * Death Certification - [DeathCertification]
    * Injury Incident - [InjuryIncident]
    * Tobacco Use Contributed to Death - [TobaccoUseContributedToDeath]
    * Decedent Pregnancy Status - [DecedentPregnancyStatus]
    * Surgery Date - [SurgeryDate]",,x,VRDR
35,Coding-COD,CauseOfDeathPart1,vrdr-cause-of-death-part1,"The certifier of death can be specified by reference to a USCore Practitioner instance from the 'performer' field.   This instance should be included in the [DeathCertificateDocument].
",x,x,VRDR
36,Coding-COD,CauseOfDeathPart2,vrdr-cause-of-death-part2,"The certifier of death can be specified by reference to a USCore Practitioner instance from the 'performer' field.   This instance should be included in the [DeathCertificateDocument].
",x,x,VRDR
37,Coding-COD,CodingStatusValues,vrdr-coding-status-values,,,x,VRDR
38,Coding-COD,DeathCertification,vrdr-death-certification,"
  Note:
  * The DeathCertification.performed and DeathCertificateDocument.attester.time should both be set to the death certification time.
  * The DeathCertification.performer.actor is required by the [USCore Procedure Profile]({{hl7fhiruscore}}/StructureDefinition-us-core-procedure.html),
  but is not required by the death record submission use case.

  The Death Certification profile includes:",x,x,VRDR
39,Coding-COD,DecedentPregnancyStatus,vrdr-decedent-pregnancy-status,,x,x,VRDR
40,Coding-COD,EntityAxisCauseOfDeath,vrdr-entity-axis-cause-of-death,,,x,VRDR
41,Coding-COD,InjuryIncident,vrdr-injury-incident,,x,x,VRDR
42,Coding-COD,MannerOfDeath,vrdr-manner-of-death,A reference to the [Certifier] may be provided through the performer field.,x,x,VRDR
43,Coding-COD,ManualUnderlyingCauseOfDeath,vrdr-manual-underlying-cause-of-death,,,x,VRDR
44,Coding-COD,PlaceOfInjury,vrdr-place-of-injury,"This profile is used to provide the coded Place of Injury.  The Observation.value must provide a value from <a href='ValueSet-vrdr-place-of-injury-vs.html'>PlaceOfInjuryVS</a> which corresponds to the TRX codes provided by NCHS.  In addition, backwards compatibility with the SuperMICAR places of injury is supported with an optional code from the <a href='ValueSet-vrdr-place-of-injury-other-vs.html'>PlaceOfInjuryOtherVS</a> valueset, which corresponds to additional place values.   The SuperMICAR value should only be provided when the coded place is 'Other'.  This backwards compatibility is provided for the convenience of jurisdictions. NCHS does not generate SuperMICAR codes.",,x,VRDR
45,Coding-COD,RecordAxisCauseOfDeath,vrdr-record-axis-cause-of-death,"

   Additional information on Record Axis Cause of death can be found in the case of multiple causes of death can be found in this CDC [publication](https://www.cdc.gov/nchs/data/dvs/Multiple-Cause-Record-Layout-2020.pdf)
.  Previously a subset of records classified to ICD-10 CHAPTER XV - Pregnancy, childbirth and the puerperium (O00-O99) were flagged by the presence of a '1' in the 5th position of the 2nd condition (position = 2).
These are instances where a decedent < 45 years of age has been classified as a maternal
death using input from the information entered in the [DecedentPregnancyStatus], and the 2nd condition represents the cause of death
to which the given record would be classified had the causes of death been processed without [National Vital Statistics Reports Volume 69, Number 2 January, 2020 (cdc.gov)](https://www.cdc.gov/nchs/data/nvsr/nvsr69/nvsr69-02-508.pdf).


In the FHIR encoding, in lieu of using the 5th position of the ICD10 code, a flag has been added to each Record Cause of Death condition that should be set to true in these cases, and should be absent or false elsewhere.
* insert RequireMetaProfile(Profile: RecordAxisCauseOfDeath)",,x,VRDR
46,Coding-COD,SurgeryDate,vrdr-surgery-date,,,x,VRDR
47,Coding-COD,TobaccoUseContributedToDeath,vrdr-tobacco-use-contributed-to-death,,x,x,VRDR
48,Coding-Demographic,DemographicCodedContentBundle,vrdr-demographic-coded-content-bundle,"  This bundle is information-content equivalent to the traditional NCHS MRE format.


  This bundle contains:
  * Coded Content:
    * Coded Race and Ethnicity - [ObservationCodedRaceAndEthnicityVitalRecords]
  * Input Content:
    * Input Race and Ethnicity - [ObservationInputRaceAndEthnicityVitalRecords]",,x,VRDR
49,Coding-Demographic,ObservationInputRaceAndEthnicityVitalRecords,input-race-and-ethnicity-vr,,x,x,VRCL
50,Coding-Demographic,ObservationCodedRaceAndEthnicityVitalRecords,coded-race-and-ethnicity-vr,,,x,VRCPL
51,Coding-Work,IndustryOccupationCodedContentBundle,industry-occupation-coded-content-bundle,,,x,VRDR
52,Coding-Work,ObservationUsualWorkVitalRecords,Observation-usual-work-vr,,,x,VRCL
53,Not Implemented,not implemented,,,,x,VRDR
